label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,slo_rate,ir_gt_1,ir_gt_1_25,ir_gt_1_5,limited_ratio,drop_rate,limiter_events_per_task,score,signature
C270,1.1,1.0,1.2,1.4,0.01,16,0.5263157894736842,0.5135135135135135,0.0,0.0,0.06842105263157895,0.47368421052631576,337.0578947368421,-0.2582503556187767,lt=1.100 | br=1.000 | cc=1.200 | mb=1.400 | dec=0.010 | adj=16
C244,1.1,0.85,1.2,1.2,0.02,16,0.5157894736842106,0.4954128440366973,0.0,0.0,0.07368421052631578,0.4842105263157895,355.22105263157897,-0.2585707387735393,lt=1.100 | br=0.850 | cc=1.200 | mb=1.200 | dec=0.020 | adj=16
C226,1.1,0.7,1.3,1.2,0.01,16,0.5210526315789473,0.509090909090909,0.02727272727272727,0.0,0.06315789473684211,0.4789473684210526,340.7263157894737,-0.2590909090909091,lt=1.100 | br=0.700 | cc=1.300 | mb=1.200 | dec=0.010 | adj=16
C192,1.05,0.85,1.4,1.4,0.02,16,0.5157894736842106,0.5045045045045045,0.036036036036036036,0.009009009009009009,0.06315789473684211,0.4789473684210526,356.0842105263158,-0.25976766239924126,lt=1.050 | br=0.850 | cc=1.400 | mb=1.400 | dec=0.020 | adj=16
C175,1.05,0.85,1.2,1.4,0.02,12,0.5157894736842106,0.509090909090909,0.01818181818181818,0.00909090909090909,0.06315789473684211,0.4789473684210526,374.2684210526316,-0.26435406698564584,lt=1.050 | br=0.850 | cc=1.200 | mb=1.400 | dec=0.020 | adj=12
C264,1.1,0.85,1.4,1.4,0.02,16,0.5157894736842106,0.509090909090909,0.0,0.0,0.05789473684210526,0.4842105263157895,319.12105263157895,-0.26435406698564584,lt=1.100 | br=0.850 | cc=1.400 | mb=1.400 | dec=0.020 | adj=16
C243,1.1,0.85,1.2,1.2,0.02,12,0.5105263157894737,0.49074074074074076,0.018518518518518517,0.0,0.07894736842105263,0.48947368421052634,398.2263157894737,-0.2644249512670565,lt=1.100 | br=0.850 | cc=1.200 | mb=1.200 | dec=0.020 | adj=12
C147,1.05,0.7,1.2,1.2,0.02,12,0.5157894736842106,0.5045871559633027,0.03669724770642202,0.0,0.06842105263157895,0.4842105263157895,391.4263157894737,-0.2651134717527764,lt=1.050 | br=0.700 | cc=1.200 | mb=1.200 | dec=0.020 | adj=12
C273,1.1,1.0,1.3,1.2,0.01,12,0.5157894736842106,0.4954128440366973,0.03669724770642202,0.0,0.08947368421052632,0.4842105263157895,438.1736842105263,-0.2664654756156446,lt=1.100 | br=1.000 | cc=1.300 | mb=1.200 | dec=0.010 | adj=12
C223,1.1,0.7,1.2,1.4,0.02,12,0.48947368421052634,0.4672897196261682,0.028037383177570093,0.028037383177570093,0.08421052631578947,0.49473684210526314,438.7631578947368,-0.2672897196261682,lt=1.100 | br=0.700 | cc=1.200 | mb=1.400 | dec=0.020 | adj=12
C200,1.05,1.0,1.2,1.4,0.02,16,0.5105263157894737,0.5,0.037037037037037035,0.0,0.06842105263157895,0.48947368421052634,415.90526315789475,-0.26842105263157895,lt=1.050 | br=1.000 | cc=1.200 | mb=1.400 | dec=0.020 | adj=16
C181,1.05,0.85,1.3,1.4,0.01,12,0.5157894736842106,0.5137614678899083,0.009174311926605505,0.0,0.05789473684210526,0.4842105263157895,336.93684210526317,-0.2690246257846451,lt=1.050 | br=0.850 | cc=1.300 | mb=1.400 | dec=0.010 | adj=12
C266,1.1,1.0,1.2,1.2,0.01,16,0.5105263157894737,0.4954128440366973,0.009174311926605505,0.0,0.07894736842105263,0.48947368421052634,401.2157894736842,-0.269097054563013,lt=1.100 | br=1.000 | cc=1.200 | mb=1.200 | dec=0.010 | adj=16
C262,1.1,0.85,1.4,1.4,0.01,16,0.5263157894736842,0.5315315315315315,0.018018018018018018,0.0,0.05789473684210526,0.47368421052631576,329.0578947368421,-0.2710052157420579,lt=1.100 | br=0.850 | cc=1.400 | mb=1.400 | dec=0.010 | adj=16
C145,1.05,0.7,1.2,1.2,0.01,12,0.5105263157894737,0.5135135135135135,0.02702702702702703,0.018018018018018018,0.05789473684210526,0.4789473684210526,359.8578947368421,-0.2714082503556187,lt=1.050 | br=0.700 | cc=1.200 | mb=1.200 | dec=0.010 | adj=12
C235,1.1,0.7,1.4,1.2,0.02,12,0.5263157894736842,0.5225225225225225,0.009009009009009009,0.0,0.07894736842105263,0.47368421052631576,366.12631578947367,-0.2725225225225225,lt=1.100 | br=0.700 | cc=1.400 | mb=1.200 | dec=0.020 | adj=12
C178,1.05,0.85,1.3,1.2,0.01,16,0.5105263157894737,0.5045871559633027,0.01834862385321101,0.009174311926605505,0.06842105263157895,0.48947368421052634,381.1,-0.2730082085948817,lt=1.050 | br=0.850 | cc=1.300 | mb=1.200 | dec=0.010 | adj=16
C279,1.1,1.0,1.3,1.4,0.02,12,0.5210526315789473,0.5181818181818182,0.00909090909090909,0.0,0.07368421052631578,0.4789473684210526,354.1684210526316,-0.27344497607655505,lt=1.100 | br=1.000 | cc=1.300 | mb=1.400 | dec=0.020 | adj=12
C221,1.1,0.7,1.2,1.4,0.01,12,0.5263157894736842,0.5405405405405406,0.009009009009009009,0.0,0.04736842105263158,0.47368421052631576,265.32105263157894,-0.27475106685633005,lt=1.100 | br=0.700 | cc=1.200 | mb=1.400 | dec=0.010 | adj=12
C161,1.05,0.7,1.4,1.2,0.01,12,0.5105263157894737,0.5,0.045454545454545456,0.00909090909090909,0.08947368421052632,0.4842105263157895,497.42105263157896,-0.2763157894736842,lt=1.050 | br=0.700 | cc=1.400 | mb=1.200 | dec=0.010 | adj=12
C160,1.05,0.7,1.3,1.4,0.02,16,0.5210526315789473,0.5272727272727272,0.0,0.0,0.06315789473684211,0.4789473684210526,329.59473684210525,-0.2772727272727273,lt=1.050 | br=0.700 | cc=1.300 | mb=1.400 | dec=0.020 | adj=16
C201,1.05,1.0,1.3,1.2,0.01,12,0.5052631578947369,0.5045871559633027,0.027522935779816515,0.009174311926605505,0.07368421052631578,0.48947368421052634,424.56315789473683,-0.2809029454369869,lt=1.050 | br=1.000 | cc=1.300 | mb=1.200 | dec=0.010 | adj=12
