label,limit_threshold,bandwidth_refill,compute_ceiling,max_boost,decay,adjust_interval,load,seed,slo_rate,drop_rate,limited_ratio,ir_gt_1,ir_gt_1_25,ir_gt_1_5
C81,1.0,0.7,1.3,1.2,0.01,12,190,7,0.5,0.49473684210526314,0.3631578947368421,0.5092592592592593,0.009259259259259259,0.009259259259259259
C82,1.0,0.7,1.3,1.2,0.01,16,190,7,0.5052631578947369,0.48947368421052634,0.3368421052631579,0.5871559633027523,0.027522935779816515,0.009174311926605505
C83,1.0,0.7,1.3,1.2,0.02,12,190,7,0.49473684210526314,0.5,0.3736842105263158,0.4672897196261682,0.018691588785046728,0.009345794392523364
C84,1.0,0.7,1.3,1.2,0.02,16,190,7,0.5210526315789473,0.47368421052631576,0.35789473684210527,0.5135135135135135,0.009009009009009009,0.009009009009009009
C85,1.0,0.7,1.3,1.4,0.01,12,190,7,0.49473684210526314,0.5052631578947369,0.3526315789473684,0.5420560747663551,0.056074766355140186,0.018691588785046728
C86,1.0,0.7,1.3,1.4,0.01,16,190,7,0.5210526315789473,0.4789473684210526,0.34210526315789475,0.5636363636363636,0.00909090909090909,0.0
C87,1.0,0.7,1.3,1.4,0.02,12,190,7,0.5157894736842106,0.4842105263157895,0.3263157894736842,0.5779816513761468,0.0,0.0
C88,1.0,0.7,1.3,1.4,0.02,16,190,7,0.5052631578947369,0.49473684210526314,0.3263157894736842,0.5185185185185185,0.027777777777777776,0.009259259259259259
C89,1.0,0.7,1.4,1.2,0.01,12,190,7,0.5157894736842106,0.4789473684210526,0.3473684210526316,0.5135135135135135,0.018018018018018018,0.0
C90,1.0,0.7,1.4,1.2,0.01,16,190,7,0.5263157894736842,0.46842105263157896,0.3473684210526316,0.5803571428571429,0.026785714285714284,0.0
C91,1.0,0.7,1.4,1.2,0.02,12,190,7,0.5157894736842106,0.4842105263157895,0.35789473684210527,0.5137614678899083,0.027522935779816515,0.0
C92,1.0,0.7,1.4,1.2,0.02,16,190,7,0.5210526315789473,0.4789473684210526,0.32105263157894737,0.5181818181818182,0.0,0.0
C93,1.0,0.7,1.4,1.4,0.01,12,190,7,0.5157894736842106,0.4842105263157895,0.34210526315789475,0.5045871559633027,0.0,0.0
C94,1.0,0.7,1.4,1.4,0.01,16,190,7,0.5052631578947369,0.49473684210526314,0.3526315789473684,0.48148148148148145,0.027777777777777776,0.0
C95,1.0,0.7,1.4,1.4,0.02,12,190,7,0.5157894736842106,0.4842105263157895,0.3263157894736842,0.5045871559633027,0.01834862385321101,0.0
C96,1.0,0.7,1.4,1.4,0.02,16,190,7,0.5157894736842106,0.4842105263157895,0.3368421052631579,0.5596330275229358,0.01834862385321101,0.0
